pickup_date,count,holiday,weekday
2015-01-01,519577,1,3
2015-01-02,450266,0,4
2015-01-03,542131,0,5
2015-01-04,432815,0,6
2015-01-05,475444,0,0
2015-01-06,505449,0,1
2015-01-07,569363,0,2
2015-01-08,601432,0,3
2015-01-09,599840,0,4
2015-01-10,682901,0,5
2015-01-11,550099,0,6
2015-01-12,524019,0,0
2015-01-13,587151,0,1
2015-01-14,580733,0,2
2015-01-15,598207,0,3
2015-01-16,641834,0,4
2015-01-17,639562,0,5
2015-01-18,577163,0,6
2015-01-19,445379,1,0
2015-01-20,529347,0,1
2015-01-21,562611,0,2
2015-01-22,593706,0,3
2015-01-23,629089,0,4
2015-01-24,621781,0,5
2015-01-25,540906,0,6
2015-01-26,322728,0,0
2015-01-27,183643,0,1
2015-01-28,510596,0,2
2015-01-29,580170,0,3
2015-01-30,661941,0,4
2015-01-31,710431,0,5
2015-02-01,582503,0,6
2015-02-02,470693,0,0
2015-02-03,570880,0,1
2015-02-04,562829,0,2
2015-02-05,629334,0,3
2015-02-06,658222,0,4
2015-02-07,660644,0,5
2015-02-08,554442,0,6
2015-02-09,515452,0,0
2015-02-10,566784,0,1
2015-02-11,601348,0,2
2015-02-12,634744,1,3
2015-02-13,687100,0,4
2015-02-14,703945,0,5
2015-02-15,637565,1,6
2015-02-16,558316,1,0
2015-02-17,536769,0,1
2015-02-18,588328,0,2
2015-02-19,659008,0,3
2015-02-20,698598,0,4
2015-02-21,638926,0,5
2015-02-22,541942,0,6
2015-02-23,588329,0,0
2015-02-24,610907,0,1
2015-02-25,602686,0,2
2015-02-26,645496,0,3
2015-02-27,675452,0,4
2015-02-28,689165,0,5
2015-03-01,532588,0,6
2015-03-02,524504,0,0
2015-03-03,555116,0,1
2015-03-04,593328,0,2
2015-03-05,510074,0,3
2015-03-06,625991,0,4
2015-03-07,690259,0,5
2015-03-08,559303,0,6
2015-03-09,522432,0,0
2015-03-10,569634,0,1
2015-03-11,576872,0,2
2015-03-12,628324,0,3
2015-03-13,654459,0,4
2015-03-14,691771,0,5
2015-03-15,571343,0,6
2015-03-16,506072,0,0
2015-03-17,557975,0,1
2015-03-18,608655,0,2
2015-03-19,615395,0,3
2015-03-20,648715,0,4
2015-03-21,649144,0,5
2015-03-22,589745,0,6
2015-03-23,530074,0,0
2015-03-24,553628,0,1
2015-03-25,583853,0,2
2015-03-26,592858,0,3
2015-03-27,648387,0,4
2015-03-28,710333,0,5
2015-03-29,590519,0,6
2015-03-30,530165,0,0
2015-03-31,589481,0,1
2015-04-01,617264,0,2
2015-04-02,629583,0,3
2015-04-03,630569,0,4
2015-04-04,621913,0,5
2015-04-05,537873,0,6
2015-04-06,521703,0,0
2015-04-07,594292,0,1
2015-04-08,620192,0,2
2015-04-09,645229,0,3
2015-04-10,663377,0,4
2015-04-11,674836,0,5
2015-04-12,584411,0,6
2015-04-13,532149,0,0
2015-04-14,574677,0,1
2015-04-15,599556,0,2
2015-04-16,641977,0,3
2015-04-17,669919,0,4
2015-04-18,717242,0,5
2015-04-19,631786,0,6
2015-04-20,581164,0,0
2015-04-21,596206,0,1
2015-04-22,622743,0,2
2015-04-23,669648,0,3
2015-04-24,699400,0,4
2015-04-25,718623,0,5
2015-04-26,619678,0,6
2015-04-27,557892,0,0
2015-04-28,578917,0,1
2015-04-29,609573,0,2
2015-04-30,640298,0,3
2015-05-01,674791,0,4
2015-05-02,736550,0,5
2015-05-03,621145,0,6
2015-05-04,552934,0,0
2015-05-05,610498,0,1
2015-05-06,631442,0,2
2015-05-07,640572,0,3
2015-05-08,657525,0,4
2015-05-09,683811,0,5
2015-05-10,590642,0,6
2015-05-11,565751,0,0
2015-05-12,610893,0,1
2015-05-13,632669,0,2
2015-05-14,644682,0,3
2015-05-15,676113,0,4
2015-05-16,721970,0,5
2015-05-17,620125,0,6
2015-05-18,579767,0,0
2015-05-19,621259,0,1
2015-05-20,639293,0,2
2015-05-21,653213,0,3
2015-05-22,617533,0,4
2015-05-23,566041,0,5
2015-05-24,498534,0,6
2015-05-25,438113,1,0
2015-05-26,555635,0,1
2015-05-27,607917,0,2
2015-05-28,634269,0,3
2015-05-29,654200,0,4
2015-05-30,670381,0,5
2015-05-31,568379,0,6
2015-06-01,599014,0,0
2015-06-02,621684,0,1
2015-06-03,616090,0,2
2015-06-04,646136,0,3
2015-06-05,667538,0,4
2015-06-06,663430,0,5
2015-06-07,592017,0,6
2015-06-08,564009,0,0
2015-06-09,588365,0,1
2015-06-10,611538,0,2
2015-06-11,649114,0,3
2015-06-12,663358,0,4
2015-06-13,637416,0,5
2015-06-14,572850,0,6
2015-06-15,558419,0,0
2015-06-16,586810,0,1
2015-06-17,620505,0,2
2015-06-18,632110,0,3
2015-06-19,648739,0,4
2015-06-20,620786,0,5
2015-06-21,551334,0,6
2015-06-22,543567,0,0
2015-06-23,600283,0,1
2015-06-24,603603,0,2
2015-06-25,624306,0,3
2015-06-26,632924,0,4
2015-06-27,696834,0,5
2015-06-28,530190,0,6
2015-06-29,520164,0,0
2015-06-30,541232,0,1
2015-07-01,574598,0,2
2015-07-02,546071,0,3
2015-07-03,457232,1,4
2015-07-04,403613,1,5
2015-07-05,426732,0,6
2015-07-06,462951,0,0
2015-07-07,536335,0,1
2015-07-08,574563,0,2
2015-07-09,609195,0,3
2015-07-10,600507,0,4
2015-07-11,619360,0,5
2015-07-12,555324,0,6
