pickup_date,count,holiday,weekday,taxi_type
2015-01-01,74620,1,3,fhv_
2015-01-02,61560,0,4,fhv_
2015-01-03,81496,0,5,fhv_
2015-01-04,62365,0,6,fhv_
2015-01-05,70595,0,0,fhv_
2015-01-06,80901,0,1,fhv_
2015-01-07,92253,0,2,fhv_
2015-01-08,103040,0,3,fhv_
2015-01-09,98686,0,4,fhv_
2015-01-10,103325,0,5,fhv_
2015-01-11,80304,0,6,fhv_
2015-01-12,87114,0,0,fhv_
2015-01-13,93773,0,1,fhv_
2015-01-14,94155,0,2,fhv_
2015-01-15,99494,0,3,fhv_
2015-01-16,104061,0,4,fhv_
2015-01-17,98363,0,5,fhv_
2015-01-18,95187,0,6,fhv_
2015-01-19,67100,1,0,fhv_
2015-01-20,83243,0,1,fhv_
2015-01-21,88124,0,2,fhv_
2015-01-22,95578,0,3,fhv_
2015-01-23,102086,0,4,fhv_
2015-01-24,102847,0,5,fhv_
2015-01-25,80509,0,6,fhv_
2015-01-26,62810,0,0,fhv_
2015-01-27,32777,0,1,fhv_
2015-01-28,88144,0,2,fhv_
2015-01-29,100558,0,3,fhv_
2015-01-30,115879,0,4,fhv_
2015-01-31,119839,0,5,fhv_
2015-02-01,101403,0,6,fhv_
2015-02-02,91856,0,0,fhv_
2015-02-03,101741,0,1,fhv_
2015-02-04,100212,0,2,fhv_
2015-02-05,114928,0,3,fhv_
2015-02-06,119351,0,4,fhv_
2015-02-07,108211,0,5,fhv_
2015-02-08,87835,0,6,fhv_
2015-02-09,91031,0,0,fhv_
2015-02-10,96857,0,1,fhv_
2015-02-11,105480,0,2,fhv_
2015-02-12,116694,1,3,fhv_
2015-02-13,131011,0,4,fhv_
2015-02-14,126311,0,5,fhv_
2015-02-15,114221,1,6,fhv_
2015-02-16,98888,1,0,fhv_
2015-02-17,100984,0,1,fhv_
2015-02-18,103735,0,2,fhv_
2015-02-19,122575,0,3,fhv_
2015-02-20,135286,0,4,fhv_
2015-02-21,119669,0,5,fhv_
2015-02-22,89118,0,6,fhv_
2015-02-23,103799,0,0,fhv_
2015-02-24,112600,0,1,fhv_
2015-02-25,107801,0,2,fhv_
2015-02-26,117405,0,3,fhv_
2015-02-27,120173,0,4,fhv_
2015-02-28,114008,0,5,fhv_
2015-03-01,94159,0,6,fhv_
2015-03-02,89591,0,0,fhv_
2015-03-03,106511,0,1,fhv_
2015-03-04,106036,0,2,fhv_
2015-03-05,101643,0,3,fhv_
2015-03-06,115545,0,4,fhv_
2015-03-07,112928,0,5,fhv_
2015-03-08,90175,0,6,fhv_
2015-03-09,85898,0,0,fhv_
2015-03-10,104791,0,1,fhv_
2015-03-11,98635,0,2,fhv_
2015-03-12,112819,0,3,fhv_
2015-03-13,113674,0,4,fhv_
2015-03-14,124138,0,5,fhv_
2015-03-15,92366,0,6,fhv_
2015-03-16,87086,0,0,fhv_
2015-03-17,94537,0,1,fhv_
2015-03-18,104360,0,2,fhv_
2015-03-19,110847,0,3,fhv_
2015-03-20,128832,0,4,fhv_
2015-03-21,112030,0,5,fhv_
2015-03-22,98810,0,6,fhv_
2015-03-23,93378,0,0,fhv_
2015-03-24,96078,0,1,fhv_
2015-03-25,106755,0,2,fhv_
2015-03-26,112368,0,3,fhv_
2015-03-27,119869,0,4,fhv_
2015-03-28,123934,0,5,fhv_
2015-03-29,104405,0,6,fhv_
2015-03-30,94457,0,0,fhv_
2015-03-31,108817,0,1,fhv_
2015-04-01,125456,0,2,fhv_
2015-04-02,129668,0,3,fhv_
2015-04-03,126376,0,4,fhv_
2015-04-04,113562,0,5,fhv_
2015-04-05,101810,0,6,fhv_
2015-04-06,102823,0,0,fhv_
2015-04-07,121342,0,1,fhv_
2015-04-08,126662,0,2,fhv_
2015-04-09,133273,0,3,fhv_
2015-04-10,136399,0,4,fhv_
2015-04-11,128328,0,5,fhv_
2015-04-12,116321,0,6,fhv_
2015-04-13,110980,0,0,fhv_
2015-04-14,118971,0,1,fhv_
2015-04-15,124212,0,2,fhv_
2015-04-16,137017,0,3,fhv_
2015-04-17,140885,0,4,fhv_
2015-04-18,140908,0,5,fhv_
2015-04-19,121861,0,6,fhv_
2015-04-20,137450,0,0,fhv_
2015-04-21,125378,0,1,fhv_
2015-04-22,140074,0,2,fhv_
2015-04-23,150652,0,3,fhv_
2015-04-24,159843,0,4,fhv_
2015-04-25,153874,0,5,fhv_
2015-04-26,133068,0,6,fhv_
2015-04-27,119942,0,0,fhv_
2015-04-28,123211,0,1,fhv_
2015-04-29,133173,0,2,fhv_
2015-04-30,141019,0,3,fhv_
2015-05-01,147291,0,4,fhv_
2015-05-02,147598,0,5,fhv_
2015-05-03,120803,0,6,fhv_
2015-05-04,117398,0,0,fhv_
2015-05-05,130301,0,1,fhv_
2015-05-06,136048,0,2,fhv_
2015-05-07,143629,0,3,fhv_
2015-05-08,145035,0,4,fhv_
2015-05-09,141370,0,5,fhv_
2015-05-10,120539,0,6,fhv_
2015-05-11,124045,0,0,fhv_
2015-05-12,139355,0,1,fhv_
2015-05-13,141431,0,2,fhv_
